Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Paul Rembauville,M,SBD,Raw,26,24-34,24-39,Open,73.9,74,260,-272.5,-272.5,,260,152.5,157.5,162.5,,162.5,295,312.5,322.5,,322.5,745,6,539.59,536.40,518.62,109.45,Yes,France,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Julie Fosseide,F,SBD,Raw,30.5,24-34,24-39,Open,56.75,57,135,140,-145,,140,82.5,85,87.5,,87.5,155,162.5,-170,,162.5,390,25,448.11,454.12,401.58,91.78,Yes,Norway,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sascha Stendebach,M,SBD,Raw,32,24-34,24-39,Open,92.9,93,272.5,280,285,,285,202.5,210,212.5,,212.5,335,357.5,365,,365,862.5,4,549.05,542.09,518.86,112.89,Yes,Germany,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sovannphaktra Pal,F,SBD,Raw,31.5,24-34,24-39,Open,56.85,57,165,172.5,-175,,172.5,82.5,-90,-90,,82.5,170,180,-190,,180,435,8,499.24,505.81,447.28,102.24,Yes,France,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Annalisa Motta,F,SBD,Raw,27.5,24-34,24-39,Open,45.65,47,120,125,-130,,125,72.5,77.5,-80,,77.5,142.5,150,-157.5,,150,352.5,7,472.12,484.00,432.51,100.64,Yes,Italy,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sara Naldi,F,SBD,Raw,24.5,24-34,24-39,Open,66.25,69,175,185,192.5,,192.5,97.5,102.5,105,,105,207.5,-217.5,-222.5,,207.5,505,6,527.06,522.43,461.00,107.10,Yes,Italy,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Viktoria Druziaka,F,SBD,Raw,25,24-34,24-39,Open,51.9,52,145,152.5,-157.5,,152.5,85,90,92.5,,92.5,142.5,150,155,,155,400,9,488.21,499.40,442.70,101.17,Yes,Ukraine,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Amélie Mierger,F,SBD,Raw,30.5,24-34,24-39,Open,147.9,84+,240,245,250,,250,155,160,-165,,160,210,217.5,232.5,,232.5,642.5,4,495.59,495.20,416.01,107.30,Yes,France,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Prescillia Bavoil,F,SBD,Raw,29,24-34,24-39,Open,65.25,69,195,205,211.5,,211.5,105,110,115,,115,210,222.5,-240.5,,222.5,549,1,578.14,574.32,506.91,117.50,Yes,France,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Iris Scholten,F,SBD,Raw,30.5,24-34,24-39,Open,67.45,69,187.5,195,-200,,195,110,-115,-117.5,,110,185,195,-202.5,,195,500,9,516.42,510.58,450.41,104.93,Yes,Netherlands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Bobbie Butters,F,SBD,Raw,28,24-34,24-39,Open,56.7,57,175,182.5,-186,,182.5,102.5,107.5,-110,,107.5,170,180,182.5,,182.5,472.5,4,543.22,550.56,486.87,111.27,Yes,England,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Pleun Dekkers,F,SBD,Raw,28.5,24-34,24-39,Open,51.85,52,160,167.5,-170,,167.5,82.5,87.5,90,,90,162.5,-170,-170,,162.5,420,5,512.97,524.76,465.20,106.32,Yes,Netherlands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
